date,steps
2022-09-21,2457
2022-09-22,879
2022-09-23,1376
2022-09-24,3808
2022-09-25,3250
2022-09-26,4301
2022-09-27,1278
2022-09-28,2499
2022-09-29,3768
2022-09-30,4556
2022-10-01,3669
2022-10-02,3388
2022-10-03,722
2022-10-04,2019
2022-10-05,3615
2022-10-06,5389
2022-10-07,4072
2022-10-08,1097
2022-10-09,1619
2022-10-10,1354
2022-10-11,2396
2022-10-12,1651
2022-10-13,1380
2022-10-14,3259
2022-10-15,2239
2022-10-16,8611
2022-10-17,4540
2022-10-18,2384
2022-10-19,1874
2022-10-20,1439
2022-10-21,1368
2022-10-22,3052
2022-10-23,1900
2022-10-24,801
2022-10-25,2693
2022-10-26,914
2022-10-27,9534
2022-10-28,22853
2022-10-29,12322
2022-10-30,15129
2022-10-31,9708
2022-11-01,1294
2022-11-02,1184
2022-11-03,3745
2022-11-04,2702
2022-11-05,1643
2022-11-06,4951
2022-11-07,2574
2022-11-08,3176
2022-11-09,3532
2022-11-10,2994
2022-11-11,4060
2022-11-12,3573
2022-11-13,5561
2022-11-14,2415
2022-11-15,1716
2022-11-16,3038
2022-11-17,2277
2022-11-18,2172
2022-11-19,3919
2022-11-20,614
2022-11-21,4032
2022-11-22,2772
2022-11-23,4654
2022-11-24,2536
2022-11-25,2020
2022-11-26,3863
2022-11-27,2435
2022-11-28,1575
2022-11-29,2756
2022-11-30,3306
2022-12-01,1923
2022-12-02,3077
2022-12-03,4380
2022-12-04,13698
2022-12-05,9752
2022-12-06,9658
2022-12-07,8559
2022-12-08,14438
2022-12-09,6652
2022-12-10,11332
2022-12-11,18058
2022-12-12,8751
2022-12-13,2514
2022-12-14,1868
2022-12-15,741
2022-12-16,3182
2022-12-17,2910
2022-12-18,6512
2022-12-19,2432
2022-12-20,5980
2022-12-21,7403
2022-12-22,1766
2022-12-23,2632
2022-12-24,4321
2022-12-25,5862
2022-12-26,3464
2022-12-27,3626
2022-12-28,3757
2022-12-29,1884
2022-12-30,4124
2022-12-31,2984
2023-01-01,1211
2023-01-02,2662
2023-01-03,1558
2023-01-04,1237
2023-01-05,4427
2023-01-06,3446
2023-01-07,2248
2023-01-08,5090
2023-01-09,1704
2023-01-10,6940
2023-01-11,1066
2023-01-12,2767
2023-01-13,1038
2023-01-14,1722
2023-01-15,2538
2023-01-16,6146
2023-01-17,1337
2023-01-18,3683
2023-01-19,1599
2023-01-20,932
2023-01-21,2110
2023-01-22,4690
2023-01-23,1930
2023-01-24,2870
2023-01-25,1452
2023-01-26,751
2023-01-27,3096
2023-01-28,4278
2023-01-29,3787
2023-01-30,1581
2023-01-31,2816
2023-02-01,6709
2023-02-02,5603
2023-02-03,2763
2023-02-04,3083
2023-02-05,1990
2023-02-06,1861
2023-02-07,6184
2023-02-08,4557
2023-02-09,3744
2023-02-10,3544
2023-02-11,5953
2023-02-12,3508
2023-02-13,5293
2023-02-14,1852
2023-02-15,2691
2023-02-16,1318
2023-02-17,2351
2023-02-18,4189
2023-02-19,4538
2023-02-20,375
2023-02-21,2011
2023-02-22,1354
2023-02-23,4283
2023-02-24,1361
2023-02-25,5240
2023-02-26,5138
2023-02-27,4443
2023-02-28,2334
2023-03-01,2601
2023-03-02,9185
2023-03-03,2509
2023-03-04,5300
2023-03-05,4291
2023-03-06,6889
2023-03-07,2494
2023-03-08,1543
2023-03-09,2063
2023-03-10,1881
2023-03-11,1140
2023-03-12,2102
2023-03-13,541
2023-03-14,1997
2023-03-15,4438
2023-03-16,715
2023-03-17,3821
2023-03-18,4364
2023-03-19,3453
2023-03-20,4810
2023-03-21,5556
2023-03-22,5560
2023-03-23,7209
2023-03-24,2389
2023-03-25,1227
2023-03-26,8228
2023-03-27,3658
2023-03-28,11395
2023-03-29,1710
2023-03-30,7072
2023-03-31,7159
2023-04-01,955
2023-04-02,7501
2023-04-03,2655
2023-04-04,3283
2023-04-05,6075
2023-04-06,1109
2023-04-07,3923
2023-04-08,3563
2023-04-09,2680
2023-04-10,1735
2023-04-11,2522
2023-04-12,3621
2023-04-13,2992
2023-04-14,5902
2023-04-15,2393
2023-04-16,5362
2023-04-17,4998
2023-04-18,9878
2023-04-19,6830
2023-04-20,4988
2023-04-21,2558
2023-04-22,8496
2023-04-23,4753
2023-04-24,2786
2023-04-25,2243
2023-04-26,2331
2023-04-27,7593
2023-04-28,3564
2023-04-29,1904
2023-04-30,3018
2023-05-01,13855
2023-05-02,2609
2023-05-03,4181
2023-05-04,1083
2023-05-05,962
2023-05-06,3170
2023-05-07,807
2023-05-08,1235
2023-05-09,13823
2023-05-10,8386
2023-05-11,10765
2023-05-12,3855
2023-05-13,1113
2023-05-14,2385
2023-05-15,5754
2023-05-16,3740
2023-05-17,2309
2023-05-18,2069
2023-05-19,3968
2023-05-20,1853
2023-05-21,580
2023-05-22,855
2023-05-23,2168
2023-05-24,3838
2023-05-25,2474
2023-05-26,2690
2023-05-27,3704
2023-05-28,4711
2023-05-29,3000
2023-05-30,3645
2023-05-31,1775
2023-06-01,1801
2023-06-02,2064
2023-06-03,6701
2023-06-04,712
2023-06-05,2043
2023-06-06,1481
2023-06-07,13466
2023-06-08,4353
2023-06-09,2655
